redizo,school_name,serving_mc,address,zrizovatel,cohort_birth_year,entry_year,births_mc,streets_school,streets_mc,catchment_share,kapacita_registered,capacity_entry_grade,expected_entrants_ceiling,expected_entrants_corrected,external_flow_ratio_used,pressure_ceiling,pressure_corrected,pressure_corrected_min,pressure_corrected_max
600041107,"Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace",Praha 10,"Hostýnská 2100/2, Strašnice, 108 00 Praha",Městská část Praha 10,2024,2030,1050,42,521,0.0806,750,75.0,84.6,48.9,0.5777,1.129,0.652,0.587,0.724
600041140,"Základní škola, Praha 10, Jakutská 1210/2, příspěvková organizace",Praha 10,"Jakutská 1210/2, Vršovice, 100 00 Praha",Městská část Praha 10,2024,2030,1050,32,521,0.0614,585,58.5,64.5,37.3,0.5777,1.102,0.637,0.573,0.708
600041115,"Základní škola, Praha 10, V Rybníčkách 1980/31, příspěvková organizace",Praha 10,"V Rybníčkách 1980/31, Strašnice, 100 00 Praha",Městská část Praha 10,2021,2027,1256,29,521,0.0557,660,66.0,69.9,40.4,0.5777,1.059,0.612,0.551,0.68
600041077,"Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace",Praha 10,"Brigádníků 510/14, Strašnice, 100 00 Praha",Městská část Praha 10,2021,2027,1256,25,521,0.048,610,61.0,60.3,34.8,0.5777,0.988,0.571,0.514,0.634
600041093,"Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace",Praha 10,"Kodaňská 658/16, Vršovice, 101 00 Praha",Městská část Praha 10,2021,2027,1256,23,521,0.0441,594,59.4,55.4,32.0,0.5777,0.933,0.539,0.485,0.599
600041115,"Základní škola, Praha 10, V Rybníčkách 1980/31, příspěvková organizace",Praha 10,"V Rybníčkách 1980/31, Strašnice, 100 00 Praha",Městská část Praha 10,2024,2030,1050,29,521,0.0557,660,66.0,58.4,33.8,0.5777,0.886,0.512,0.46,0.568
600041077,"Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace",Praha 10,"Brigádníků 510/14, Strašnice, 100 00 Praha",Městská část Praha 10,2024,2030,1050,25,521,0.048,610,61.0,50.4,29.1,0.5777,0.826,0.477,0.429,0.53
600041093,"Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace",Praha 10,"Kodaňská 658/16, Vršovice, 101 00 Praha",Městská část Praha 10,2024,2030,1050,23,521,0.0441,594,59.4,46.4,26.8,0.5777,0.78,0.451,0.406,0.501
600041166,"Základní škola, Praha 10, U Roháčových kasáren 1381/19, příspěvková organizace",Praha 10,"U Roháčových kasáren 1381/19, Vršovice, 100 00 Praha",Městská část Praha 10,2021,2027,1256,19,521,0.0365,620,62.0,45.8,26.5,0.5777,0.739,0.427,0.384,0.474
600041166,"Základní škola, Praha 10, U Roháčových kasáren 1381/19, příspěvková organizace",Praha 10,"U Roháčových kasáren 1381/19, Vršovice, 100 00 Praha",Městská část Praha 10,2024,2030,1050,19,521,0.0365,620,62.0,38.3,22.1,0.5777,0.618,0.357,0.321,0.396
600040364,"Základní škola, Praha 9 - Kyje, Šimanovská 16, příspěvková organizace",Praha 14,"Šimanovská 16, Kyje, 198 00 Praha",Městská část Praha 14,2021,2027,529,120,276,0.4348,595,59.5,230.0,132.9,0.5777,3.866,2.233,2.01,2.481
600040364,"Základní škola, Praha 9 - Kyje, Šimanovská 16, příspěvková organizace",Praha 14,"Šimanovská 16, Kyje, 198 00 Praha",Městská část Praha 14,2024,2030,414,120,276,0.4348,595,59.5,180.0,104.0,0.5777,3.025,1.748,1.573,1.942
600040585,"Základní škola, Praha 9 - Lehovec, Chvaletická 918",Praha 14,"Chvaletická 918/3, Hloubětín, 198 00 Praha",Městská část Praha 14,2021,2027,529,61,276,0.221,868,86.8,116.9,67.5,0.5777,1.347,0.778,0.7,0.865
600040356,"Základní škola, Praha 9 - Hloubětín, Hloubětínská 700",Praha 14,"Hloubětínská 700/24, Hloubětín, 198 00 Praha",Městská část Praha 14,2021,2027,529,35,276,0.1268,500,50.0,67.1,38.8,0.5777,1.342,0.775,0.698,0.861
600040585,"Základní škola, Praha 9 - Lehovec, Chvaletická 918",Praha 14,"Chvaletická 918/3, Hloubětín, 198 00 Praha",Městská část Praha 14,2024,2030,414,61,276,0.221,868,86.8,91.5,52.9,0.5777,1.054,0.609,0.548,0.677
600040356,"Základní škola, Praha 9 - Hloubětín, Hloubětínská 700",Praha 14,"Hloubětínská 700/24, Hloubětín, 198 00 Praha",Městská část Praha 14,2024,2030,414,35,276,0.1268,500,50.0,52.5,30.3,0.5777,1.05,0.607,0.546,0.674
600040496,"Základní škola, Praha 9 - Černý Most, Bří. Venclíků 1140",Praha 14,"Bratří Venclíků 1140/1, Černý Most, 198 00 Praha",Městská část Praha 14,2021,2027,529,23,276,0.0833,810,81.0,44.1,25.5,0.5777,0.544,0.314,0.283,0.349
600040577,"Základní škola Generála Janouška, Praha 9 - Černý Most, Dygrýnova 1006/21",Praha 14,"Dygrýnova 1006/21, Černý Most, 198 00 Praha",Městská část Praha 14,2021,2027,529,18,276,0.0652,800,80.0,34.5,19.9,0.5777,0.431,0.249,0.224,0.277
600040496,"Základní škola, Praha 9 - Černý Most, Bří. Venclíků 1140",Praha 14,"Bratří Venclíků 1140/1, Černý Most, 198 00 Praha",Městská část Praha 14,2024,2030,414,23,276,0.0833,810,81.0,34.5,19.9,0.5777,0.426,0.246,0.221,0.273
600040381,"Základní škola, Praha 9 - Černý Most, Vybíralova 964",Praha 14,"Vybíralova 964/8, Černý Most, 198 00 Praha",Městská část Praha 14,2021,2027,529,19,276,0.0688,920,92.0,36.4,21.0,0.5777,0.396,0.229,0.206,0.254
600040577,"Základní škola Generála Janouška, Praha 9 - Černý Most, Dygrýnova 1006/21",Praha 14,"Dygrýnova 1006/21, Černý Most, 198 00 Praha",Městská část Praha 14,2024,2030,414,18,276,0.0652,800,80.0,27.0,15.6,0.5777,0.338,0.195,0.175,0.217
600040381,"Základní škola, Praha 9 - Černý Most, Vybíralova 964",Praha 14,"Vybíralova 964/8, Černý Most, 198 00 Praha",Městská část Praha 14,2024,2030,414,19,276,0.0688,920,92.0,28.5,16.5,0.5777,0.31,0.179,0.161,0.199
600036197,"Základní škola a mateřská škola Jarov, Praha 3, V Zahrádkách 48/1966",Praha 3,"V zahrádkách 1966/48, Žižkov, 130 00 Praha",Městská část Praha 3,2021,2027,951,21,235,0.0894,320,32.0,85.0,49.1,0.5777,2.656,1.534,1.381,1.705
600036197,"Základní škola a mateřská škola Jarov, Praha 3, V Zahrádkách 48/1966",Praha 3,"V zahrádkách 1966/48, Žižkov, 130 00 Praha",Městská část Praha 3,2024,2030,826,21,235,0.0894,320,32.0,73.8,42.6,0.5777,2.307,1.332,1.199,1.481
600036138,"Základní škola, Praha 3, nám. Jiřího z Poděbrad 7,8/1685",Praha 3,"náměstí Jiřího z Poděbrad 1685/7, Vinohrady, 130 00 Praha",Městská část Praha 3,2021,2027,951,31,235,0.1319,620,62.0,125.5,72.5,0.5777,2.023,1.169,1.052,1.299
600036219,"Základní škola a mateřská škola Jaroslava Seiferta, Praha 3, Vlkova 31/800",Praha 3,"Vlkova 800/31, Žižkov, 130 00 Praha",Městská část Praha 3,2021,2027,951,18,235,0.0766,400,40.0,72.8,42.1,0.5777,1.821,1.052,0.947,1.169
