year,reference_date,mc,mc_code,age,age_band_min,age_band_max,count,count_kind,coverage_pct,source_slug,kind,notes
2014,2014-12-31,Praha 8,547158,,15,19,3453,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2014,2014-12-31,Praha 9,547166,,0,4,3636,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2014,2014-12-31,Praha 9,547166,,5,9,2809,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2014,2014-12-31,Praha 9,547166,,10,14,1876,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2014,2014-12-31,Praha 9,547166,,15,19,1852,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2014,2014-12-31,Praha 10,547174,,0,4,5748,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2014,2014-12-31,Praha 10,547174,,5,9,4917,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2014,2014-12-31,Praha 10,547174,,10,14,3497,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2014,2014-12-31,Praha 10,547174,,15,19,3472,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2014,2014-12-31,Praha 14,547221,,0,4,2510,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2014,2014-12-31,Praha 14,547221,,5,9,2391,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2014,2014-12-31,Praha 14,547221,,10,14,2045,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2014,2014-12-31,Praha 14,547221,,15,19,2314,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2014'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2015,2015-12-31,Praha 3,547107,,0,4,3893,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2015,2015-12-31,Praha 3,547107,,5,9,3067,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2015,2015-12-31,Praha 3,547107,,10,14,2219,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2015,2015-12-31,Praha 3,547107,,15,19,2281,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2015,2015-12-31,Praha 7,547141,,0,4,2701,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2015,2015-12-31,Praha 7,547141,,5,9,2198,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2015,2015-12-31,Praha 7,547141,,10,14,1357,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2015,2015-12-31,Praha 7,547141,,15,19,1310,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2015,2015-12-31,Praha 8,547158,,0,4,5611,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2015,2015-12-31,Praha 8,547158,,5,9,5749,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2015'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
